# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000565665.1	PRJNA224116	SAMN02437371	AZOO00000000.1	na	1434136	623	Shigella flexneri Shi06AH135	strain=Shi06AH135		latest	Scaffold	Major	Full	2014/01/29	ASM56566v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/665/GCF_000565665.1_ASM56566v1		
GCF_000565685.1	PRJNA224116	SAMN02437372	AZOP00000000.1	na	1434137	623	Shigella flexneri Shi06HN378	strain=Shi06HN378		latest	Scaffold	Major	Full	2014/01/29	ASM56568v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/685/GCF_000565685.1_ASM56568v1		
GCF_000565705.1	PRJNA224116	SAMN02437373	AZOQ00000000.1	na	1434138	623	Shigella flexneri Shi06HN016	strain=Shi06HN016		latest	Scaffold	Major	Full	2014/01/29	ASM56570v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/705/GCF_000565705.1_ASM56570v1		
GCF_000565725.1	PRJNA224116	SAMN02437374	AZOR00000000.1	na	1434139	623	Shigella flexneri Shi06HN250	strain=Shi06HN250		latest	Scaffold	Major	Full	2014/01/29	ASM56572v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/725/GCF_000565725.1_ASM56572v1		
GCF_000565745.1	PRJNA224116	SAMN02437375	AZOS00000000.1	na	1434140	623	Shigella flexneri Shi06AH028	strain=Shi06AH028		latest	Scaffold	Major	Full	2014/01/29	ASM56574v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/745/GCF_000565745.1_ASM56574v1		
GCF_000565765.1	PRJNA224116	SAMN02437376	AZOT00000000.1	na	1434141	623	Shigella flexneri Shi06HN244	strain=Shi06HN244		latest	Scaffold	Major	Full	2014/01/29	ASM56576v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/765/GCF_000565765.1_ASM56576v1		
GCF_000565785.1	PRJNA224116	SAMN02437377	AZOU00000000.1	na	1434142	623	Shigella flexneri Shi06GS37	strain=Shi06GS37		latest	Scaffold	Major	Full	2014/01/29	ASM56578v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/785/GCF_000565785.1_ASM56578v1		
GCF_000565805.1	PRJNA224116	SAMN02437378	AZOV00000000.1	na	1434143	623	Shigella flexneri 2003055	strain=2003055		latest	Scaffold	Major	Full	2014/01/29	ASM56580v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/805/GCF_000565805.1_ASM56580v1		
GCF_000565825.1	PRJNA224116	SAMN02437379	AZOW00000000.1	na	1434144	623	Shigella flexneri Shi06AH130	strain=Shi06AH130		latest	Scaffold	Major	Full	2014/01/29	ASM56582v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/825/GCF_000565825.1_ASM56582v1		
GCF_000565845.1	PRJNA224116	SAMN02437380	AZOX00000000.1	na	1434145	623	Shigella flexneri Shi06GS55	strain=Shi06GS55		latest	Scaffold	Major	Full	2014/01/29	ASM56584v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/845/GCF_000565845.1_ASM56584v1		
GCF_000565865.1	PRJNA224116	SAMN02437381	AZOY00000000.1	na	1434146	623	Shigella flexneri Shi06SX36	strain=Shi06SX36		latest	Scaffold	Major	Full	2014/01/29	ASM56586v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/865/GCF_000565865.1_ASM56586v1		
GCF_000565885.1	PRJNA224116	SAMN02437382	AZOZ00000000.1	na	1434147	623	Shigella flexneri 2002103	strain=2002103		latest	Scaffold	Major	Full	2014/01/29	ASM56588v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/885/GCF_000565885.1_ASM56588v1		
GCF_000565905.1	PRJNA224116	SAMN02437383	AZPA00000000.1	na	1434148	623	Shigella flexneri Shi05SX04	strain=Shi05SX04		latest	Scaffold	Major	Full	2014/01/29	ASM56590v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/905/GCF_000565905.1_ASM56590v1		
GCF_000565925.1	PRJNA224116	SAMN02437384	AZPB00000000.1	na	1434149	623	Shigella flexneri Shi06SX53	strain=Shi06SX53		latest	Scaffold	Major	Full	2014/01/29	ASM56592v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/925/GCF_000565925.1_ASM56592v1		
GCF_000565945.1	PRJNA224116	SAMN02437385	AZPC00000000.1	na	1434150	623	Shigella flexneri 2002007	strain=2002007		latest	Scaffold	Major	Full	2014/01/29	ASM56594v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/945/GCF_000565945.1_ASM56594v1		
GCF_000565965.1	PRJNA224116	SAMN02437386	AZPD00000000.1	na	1434151	623	Shigella flexneri 51575	strain=51575		latest	Scaffold	Major	Full	2014/01/29	ASM56596v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/965/GCF_000565965.1_ASM56596v1		
GCF_000565985.1	PRJNA224116	SAMN02437387	AZPE00000000.1	na	1434152	623	Shigella flexneri 51576	strain=51576		latest	Scaffold	Major	Full	2014/01/29	ASM56598v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000565985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/985/GCF_000565985.1_ASM56598v1		
GCF_000566005.1	PRJNA224116	SAMN02437388	AZPF00000000.1	na	1434153	623	Shigella flexneri 51577	strain=51577		latest	Scaffold	Major	Full	2014/01/29	ASM56600v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/005/GCF_000566005.1_ASM56600v1		
GCF_000566045.1	PRJNA224116	SAMN02437390	AZPH00000000.1	na	1434155	623	Shigella flexneri 1997005	strain=1997005		latest	Scaffold	Major	Full	2014/01/29	ASM56604v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/045/GCF_000566045.1_ASM56604v1		
GCF_000566065.1	PRJNA224116	SAMN02437391	AZPI00000000.1	na	1434156	623	Shigella flexneri 2000019	strain=2000019		latest	Scaffold	Major	Full	2014/01/29	ASM56606v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/065/GCF_000566065.1_ASM56606v1		
GCF_000566105.1	PRJNA224116	SAMN02437393	AZPK00000000.1	na	1434158	623	Shigella flexneri 2001004	strain=2001004		latest	Scaffold	Major	Full	2014/01/29	ASM56610v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/105/GCF_000566105.1_ASM56610v1		
GCF_000566125.1	PRJNA224116	SAMN02437394	AZPL00000000.1	na	1434159	623	Shigella flexneri 2001042	strain=2001042		latest	Scaffold	Major	Full	2014/01/29	ASM56612v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/125/GCF_000566125.1_ASM56612v1		
GCF_000566145.1	PRJNA224116	SAMN02437395	AZPM00000000.1	na	1434160	623	Shigella flexneri 2001044	strain=2001044		latest	Scaffold	Major	Full	2014/01/29	ASM56614v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/145/GCF_000566145.1_ASM56614v1		
GCF_000566165.1	PRJNA224116	SAMN02437396	AZPN00000000.1	na	1434161	623	Shigella flexneri 2002021	strain=2002021		latest	Scaffold	Major	Full	2014/01/29	ASM56616v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/165/GCF_000566165.1_ASM56616v1		
GCF_000566205.1	PRJNA224116	SAMN02437398	AZPP00000000.1	na	1434163	623	Shigella flexneri 2002069	strain=2002069		latest	Scaffold	Major	Full	2014/01/29	ASM56620v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/205/GCF_000566205.1_ASM56620v1		
GCF_000566225.1	PRJNA224116	SAMN02437399	AZPQ00000000.1	na	1434164	623	Shigella flexneri 2002091	strain=2002091		latest	Scaffold	Major	Full	2014/01/29	ASM56622v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/225/GCF_000566225.1_ASM56622v1		
GCF_000566265.1	PRJNA224116	SAMN02437401	AZPS00000000.1	na	1434166	623	Shigella flexneri 2002110	strain=2002110		latest	Scaffold	Major	Full	2014/01/29	ASM56626v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/265/GCF_000566265.1_ASM56626v1		
GCF_000566285.1	PRJNA224116	SAMN02437402	AZPT00000000.1	na	1434167	623	Shigella flexneri 2002140	strain=2002140		latest	Scaffold	Major	Full	2014/01/29	ASM56628v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/285/GCF_000566285.1_ASM56628v1		
GCF_000566365.1	PRJNA224116	SAMN02437406	AZPX00000000.1	na	1434171	623	Shigella flexneri 2005051	strain=2005051		latest	Scaffold	Major	Full	2014/01/29	ASM56636v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/365/GCF_000566365.1_ASM56636v1		
GCF_000566405.1	PRJNA224116	SAMN02437408	AZPZ00000000.1	na	1434173	623	Shigella flexneri 2005GS061	strain=2005GS061		latest	Scaffold	Major	Full	2014/01/29	ASM56640v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/405/GCF_000566405.1_ASM56640v1		
GCF_000566445.1	PRJNA224116	SAMN02437410	AZQB00000000.1	na	1434175	623	Shigella flexneri Shi06HN159	strain=Shi06HN159		latest	Scaffold	Major	Full	2014/01/29	ASM56644v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/445/GCF_000566445.1_ASM56644v1		
GCF_000566505.1	PRJNA224116	SAMN02437413	AZQE00000000.1	na	1434178	623	Shigella flexneri Shi06HN091	strain=Shi06HN091		latest	Scaffold	Major	Full	2014/01/29	ASM56650v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/505/GCF_000566505.1_ASM56650v1		
GCF_000566525.1	PRJNA224116	SAMN02437414	AZQF00000000.1	na	1434179	623	Shigella flexneri Shi06AH091	strain=Shi06AH091		latest	Scaffold	Major	Full	2014/01/29	ASM56652v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/525/GCF_000566525.1_ASM56652v1		
GCF_000566545.1	PRJNA224116	SAMN02437415	AZQG00000000.1	na	1434180	623	Shigella flexneri 2001025	strain=2001025		latest	Scaffold	Major	Full	2014/01/29	ASM56654v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/545/GCF_000566545.1_ASM56654v1		
GCF_000566565.1	PRJNA224116	SAMN02437416	AZQH00000000.1	na	1434181	623	Shigella flexneri 2001027	strain=2001027		latest	Scaffold	Major	Full	2014/01/29	ASM56656v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/565/GCF_000566565.1_ASM56656v1		
GCF_000566585.1	PRJNA224116	SAMN02437417	AZQI00000000.1	na	1434182	623	Shigella flexneri 2001048	strain=2001048		latest	Scaffold	Major	Full	2014/01/29	ASM56658v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/585/GCF_000566585.1_ASM56658v1		
GCF_000566605.1	PRJNA224116	SAMN02437418	AZQJ00000000.1	na	1434183	623	Shigella flexneri 2002035	strain=2002035		latest	Scaffold	Major	Full	2014/01/29	ASM56660v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/605/GCF_000566605.1_ASM56660v1		
GCF_000566625.1	PRJNA224116	SAMN02437419	AZQK00000000.1	na	1434184	623	Shigella flexneri 2002127	strain=2002127		latest	Scaffold	Major	Full	2014/01/29	ASM56662v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/625/GCF_000566625.1_ASM56662v1		
GCF_000566645.1	PRJNA224116	SAMN02437420	AZQL00000000.1	na	1434185	623	Shigella flexneri 2002141	strain=2002141		latest	Scaffold	Major	Full	2014/01/29	ASM56664v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/645/GCF_000566645.1_ASM56664v1		
GCF_000566665.1	PRJNA224116	SAMN02437421	AZQM00000000.1	na	1434186	623	Shigella flexneri 2002142	strain=2002142		latest	Scaffold	Major	Full	2014/01/29	ASM56666v1	Chinese Center for Disease Control and Prevention (China CDC)	GCA_000566665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/566/665/GCF_000566665.1_ASM56666v1		
GCF_000710235.1	PRJNA224116	SAMN02745623	JMRK00000000.1	na	623	623	Shigella flexneri	strain=4S BJ10610		latest	Scaffold	Major	Full	2014/06/19	ASM71023v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_000710235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/235/GCF_000710235.1_ASM71023v1		
GCF_001648955.1	PRJNA224116	SAMN04570177	LVIJ00000000.1	na	623	623	Shigella flexneri	strain=BJ4s05		latest	Contig	Major	Full	2016/05/20	ASM164895v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_001648955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/955/GCF_001648955.1_ASM164895v1		
GCF_001649175.1	PRJNA224116	SAMN04570192	LVIX00000000.1	na	623	623	Shigella flexneri	strain=SH4s05		latest	Contig	Major	Full	2016/05/20	ASM164917v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_001649175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/649/175/GCF_001649175.1_ASM164917v1		
GCF_001649275.1	PRJNA224116	SAMN04570179	LVIL00000000.1	na	623	623	Shigella flexneri	strain=GX4s02		latest	Contig	Major	Full	2016/05/20	ASM164927v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_001649275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/649/275/GCF_001649275.1_ASM164927v1		
GCF_001649335.1	PRJNA224116	SAMN04570181	LVIN00000000.1	na	623	623	Shigella flexneri	strain=GX4s04		latest	Contig	Major	Full	2016/05/20	ASM164933v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_001649335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/649/335/GCF_001649335.1_ASM164933v1		
GCF_001649345.1	PRJNA224116	SAMN04570195	LVJA00000000.1	na	623	623	Shigella flexneri	strain=SH4s08		latest	Contig	Major	Full	2016/05/20	ASM164934v1	Institute of Disease Control and Prevention, Academy of Military Medical Sciences	GCA_001649345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/649/345/GCF_001649345.1_ASM164934v1		
GCF_002154165.1	PRJNA224116	SAMN06245867	MTPK00000000.1	na	623	623	Shigella flexneri	strain=SP1		latest	Scaffold	Major	Full	2017/05/22	ASM215416v1	The First Affiliated Hospital, School of Medicine, Zhejiang University	GCA_002154165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/154/165/GCF_002154165.1_ASM215416v1		
GCF_001248085.1	PRJNA224116	SAMEA2434372	CWXU00000000.1	na	624	624	Shigella sonnei	strain=KY 1633		latest	Scaffold	Major	Full	2015/07/25	12850_1#45	SC	GCA_001248085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/248/085/GCF_001248085.1_12850_1_45		
GCF_001249455.1	PRJNA224116	SAMEA2434385	CWXG00000000.1	na	624	624	Shigella sonnei	strain=21201783		latest	Scaffold	Major	Full	2015/07/26	12844_1#58	SC	GCA_001249455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/249/455/GCF_001249455.1_12844_1_58		
GCF_001252335.1	PRJNA224116	SAMEA2434382	CWXF00000000.1	na	624	624	Shigella sonnei	strain=20412581		latest	Scaffold	Major	Full	2015/07/26	12844_1#55	SC	GCA_001252335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/252/335/GCF_001252335.1_12844_1_55		
GCF_001252815.1	PRJNA224116	SAMEA2434379	CWXA00000000.1	na	624	624	Shigella sonnei	strain=20426787		latest	Scaffold	Major	Full	2015/07/26	12844_1#52	SC	GCA_001252815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/252/815/GCF_001252815.1_12844_1_52		
GCF_001253195.1	PRJNA224116	SAMEA2434388	CWXH00000000.1	na	624	624	Shigella sonnei	strain=21166370		latest	Scaffold	Major	Full	2015/07/26	12844_1#61	SC	GCA_001253195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/253/195/GCF_001253195.1_12844_1_61		
GCF_001255515.1	PRJNA224116	SAMEA2434369	CWXQ00000000.1	na	624	624	Shigella sonnei	strain=KY 276		latest	Scaffold	Major	Full	2015/07/25	12850_1#42	SC	GCA_001255515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/515/GCF_001255515.1_12850_1_42		
GCF_001255675.1	PRJNA224116	SAMEA2434377	CWXZ00000000.1	na	624	624	Shigella sonnei	strain=20352044		latest	Scaffold	Major	Full	2015/07/26	12850_1#50	SC	GCA_001255675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/675/GCF_001255675.1_12850_1_50		
GCF_001255755.1	PRJNA224116	SAMEA2434381	CWXD00000000.1	na	624	624	Shigella sonnei	strain=20381207		latest	Scaffold	Major	Full	2015/07/26	12844_1#54	SC	GCA_001255755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/755/GCF_001255755.1_12844_1_54		
GCF_001255935.1	PRJNA224116	SAMEA2434380	CWXE00000000.1	na	624	624	Shigella sonnei	strain=20426788		latest	Scaffold	Major	Full	2015/07/26	12844_1#53	SC	GCA_001255935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/935/GCF_001255935.1_12844_1_53		
GCF_001255995.1	PRJNA224116	SAMEA2434375	CWXY00000000.1	na	624	624	Shigella sonnei	strain=20132055		latest	Scaffold	Major	Full	2015/07/26	12850_1#48	SC	GCA_001255995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/255/995/GCF_001255995.1_12850_1_48		
GCF_001256495.1	PRJNA224116	SAMEA2434383	CWXI00000000.1	na	624	624	Shigella sonnei	strain=11049313		latest	Scaffold	Major	Full	2015/07/26	12844_1#56	SC	GCA_001256495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/256/495/GCF_001256495.1_12844_1_56		
GCF_001256715.1	PRJNA224116	SAMEA954713	CXDB00000000.1	na	624	624	Shigella sonnei	strain=Sh1460_440931		latest	Scaffold	Major	Full	2015/07/25	5236_6#3	SC	GCA_001256715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/256/715/GCF_001256715.1_5236_6_3		
GCF_001256915.1	PRJNA224116	SAMEA2434371	CWXK00000000.1	na	624	624	Shigella sonnei	strain=KY 1058		latest	Scaffold	Major	Full	2015/07/25	12850_1#44	SC	GCA_001256915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/256/915/GCF_001256915.1_12850_1_44		
GCF_001258395.1	PRJNA224116	SAMEA2434373	CWXV00000000.1	na	624	624	Shigella sonnei	strain=KY 757		latest	Scaffold	Major	Full	2015/07/26	12850_1#46	SC	GCA_001258395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/258/395/GCF_001258395.1_12850_1_46		
GCF_001258675.1	PRJNA224116	SAMEA2434370	CWXS00000000.1	na	624	624	Shigella sonnei	strain=KY 1243		latest	Scaffold	Major	Full	2015/07/25	12850_1#43	SC	GCA_001258675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/258/675/GCF_001258675.1_12850_1_43		
GCF_001259215.1	PRJNA224116	SAMEA2434378	CWXW00000000.1	na	624	624	Shigella sonnei	strain=20426786		latest	Scaffold	Major	Full	2015/07/26	12850_1#51	SC	GCA_001259215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/259/215/GCF_001259215.1_12850_1_51		
GCF_001260215.1	PRJNA224116	SAMEA2434384	CWXC00000000.1	na	624	624	Shigella sonnei	strain=11111889		latest	Scaffold	Major	Full	2015/07/26	12844_1#57	SC	GCA_001260215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/260/215/GCF_001260215.1_12844_1_57		
GCF_001261575.1	PRJNA224116	SAMEA2434387	CWXR00000000.1	na	624	624	Shigella sonnei	strain=21156548		latest	Scaffold	Major	Full	2015/07/26	12844_1#60	SC	GCA_001261575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/575/GCF_001261575.1_12844_1_60		
GCF_001261635.1	PRJNA224116	SAMEA2434376	CWYA00000000.1	na	624	624	Shigella sonnei	strain=20177848		latest	Scaffold	Major	Full	2015/07/26	12850_1#49	SC	GCA_001261635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/635/GCF_001261635.1_12850_1_49		
GCF_002241875.1	PRJNA224116	SAMN07340967	NMXS00000000.1	na	624	624	Shigella sonnei	strain=FC1747		latest	Contig	Major	Full	2017/08/04	ASM224187v1	Christian Medical College	GCA_002241875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/241/875/GCF_002241875.1_ASM224187v1		
GCF_002241895.1	PRJNA224116	SAMN07340965	NMXU00000000.1	na	624	624	Shigella sonnei	strain=FC3209		latest	Contig	Major	Full	2017/08/04	ASM224189v1	Christian Medical College	GCA_002241895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/241/895/GCF_002241895.1_ASM224189v1		
GCF_002242015.1	PRJNA224116	SAMN07340969	NMXR00000000.1	na	624	624	Shigella sonnei	strain=FC15		latest	Contig	Major	Full	2017/08/04	ASM224201v1	Christian Medical College	GCA_002242015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/242/015/GCF_002242015.1_ASM224201v1		
GCF_002242055.1	PRJNA224116	SAMN07340961	NMXY00000000.1	na	624	624	Shigella sonnei	strain=FC653		latest	Contig	Major	Full	2017/08/04	ASM224205v1	Christian Medical College	GCA_002242055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/242/055/GCF_002242055.1_ASM224205v1		
GCF_002287145.1	PRJNA224116	SAMN05631016	MEGV00000000.1	na	624	624	Shigella sonnei	strain=PK-01		latest	Contig	Major	Full	2017/09/06	ASM228714v1	National University of Sciences and Technology (NUST)	GCA_002287145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/145/GCF_002287145.1_ASM228714v1		
GCF_900157475.1	PRJNA224116	SAMEA2054229	FTSY00000000.1	na	624	624	Shigella sonnei	strain=2090STDY5461754		latest	Scaffold	Major	Full	2017/01/29	9789_6#40	SC	GCA_900157475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/475/GCF_900157475.1_9789_6_40		
GCF_900157485.1	PRJNA224116	SAMEA1971948	FTSN00000000.1	na	624	624	Shigella sonnei	strain=2090STDY5461749		latest	Scaffold	Major	Full	2017/01/29	9789_6#35	SC	GCA_900157485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/485/GCF_900157485.1_9789_6_35		
GCF_900157495.1	PRJNA224116	SAMEA2054386	FTRZ00000000.1	na	624	624	Shigella sonnei	strain=2090STDY5461774		latest	Scaffold	Major	Full	2017/01/29	9789_6#60	SC	GCA_900157495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/495/GCF_900157495.1_9789_6_60		
GCF_900157505.1	PRJNA224116	SAMEA2054400	FTSL00000000.1	na	624	624	Shigella sonnei	strain=2090STDY5461788		latest	Scaffold	Major	Full	2017/01/29	9789_6#74	SC	GCA_900157505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/505/GCF_900157505.1_9789_6_74		
GCF_900157515.1	PRJNA224116	SAMEA2054226	FTST00000000.1	na	624	624	Shigella sonnei	strain=2090STDY5461751		latest	Contig	Major	Full	2017/01/29	9789_6#37	SC	GCA_900157515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/157/515/GCF_900157515.1_9789_6_37		
